tag_name,solc_mac_url
v0.8.1,https://github.com/ethereum/solidity/releases/download/v0.8.1/solc-macos
v0.8.0,https://github.com/ethereum/solidity/releases/download/v0.8.0/solc-macos
v0.7.6,https://github.com/ethereum/solidity/releases/download/v0.7.6/solc-macos
v0.7.5,https://github.com/ethereum/solidity/releases/download/v0.7.5/solc-macos
v0.7.4,https://github.com/ethereum/solidity/releases/download/v0.7.4/solc-macos
v0.7.3,https://github.com/ethereum/solidity/releases/download/v0.7.3/solc-macos
v0.7.2,https://github.com/ethereum/solidity/releases/download/v0.7.2/solc-macos
v0.7.1,https://github.com/ethereum/solidity/releases/download/v0.7.1/solc-macos
v0.7.0,https://github.com/ethereum/solidity/releases/download/v0.7.0/solc-macos
v0.6.12,https://github.com/ethereum/solidity/releases/download/v0.6.12/solc-macos
v0.6.11,https://github.com/ethereum/solidity/releases/download/v0.6.11/solc-macos
v0.6.10,https://github.com/ethereum/solidity/releases/download/v0.6.10/solc-macos
v0.6.9,https://github.com/ethereum/solidity/releases/download/v0.6.9/solc-macos
v0.6.8,
v0.6.7,
v0.6.6,
v0.6.5,
v0.6.4,
v0.6.3,
v0.6.2,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.6.2/solc_mac
v0.6.1,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.6.1/solc_mac
v0.6.0,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.6.0/solc_mac
v0.5.17,
v0.5.16,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.16/solc_mac
v0.5.15,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.15/solc_mac
v0.5.14,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.14/solc_mac
v0.5.13,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.13/solc_mac
v0.5.12,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.12/solc_mac
v0.5.11,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.11/solc_mac
v0.5.10,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.10/solc_mac
v0.5.9,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.9/solc_mac
v0.5.8,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.8/solc_mac
v0.5.7,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.7/solc_mac
v0.5.6,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.6/solc_mac
v0.5.5,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.5/solc_mac
v0.5.4,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.4/solc_mac
v0.5.3,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.3/solc_mac
v0.5.2,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.2/solc_mac
v0.5.1,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.1/solc_mac
v0.5.0,https://github.com/web3j/solidity-darwin-binaries/releases/download/v0.5.0/solc_mac
